program_change channel=0 program=0 time=0 0.0
control_change channel=0 control=64 value=99 time=0 0.0
control_change channel=0 control=67 value=127 time=0 0.0
control_change channel=0 control=67 value=126 time=46 0.059895833333333336
control_change channel=0 control=67 value=126 time=15 0.07942708333333333
control_change channel=0 control=67 value=126 time=212 0.35546875
control_change channel=0 control=64 value=100 time=31 0.3958333333333333
note_on channel=0 note=81 velocity=54 time=290 0.7734375
note_on channel=0 note=66 velocity=26 time=58 0.8489583333333334
note_on channel=0 note=62 velocity=32 time=8 0.859375
control_change channel=0 control=67 value=127 time=129 1.02734375
control_change channel=0 control=64 value=99 time=47 1.0885416666666667
control_change channel=0 control=67 value=127 time=14 1.1067708333333333
control_change channel=0 control=64 value=99 time=77 1.20703125
note_on channel=0 note=66 velocity=0 time=3 1.2109375
note_on channel=0 note=69 velocity=30 time=3 1.21484375
control_change channel=0 control=64 value=98 time=54 1.28515625
control_change channel=0 control=64 value=98 time=54 1.35546875
control_change channel=0 control=64 value=97 time=45 1.4140625
note_on channel=0 note=69 velocity=0 time=16 1.4348958333333333
control_change channel=0 control=64 value=97 time=14 1.453125
control_change channel=0 control=64 value=96 time=15 1.47265625
control_change channel=0 control=64 value=96 time=15 1.4921875
note_on channel=0 note=66 velocity=39 time=13 1.5091145833333333
control_change channel=0 control=64 value=95 time=3 1.5130208333333333
control_change channel=0 control=64 value=95 time=15 1.5325520833333333
note_on channel=0 note=66 velocity=0 time=148 1.7252604166666667
note_on channel=0 note=69 velocity=40 time=11 1.7395833333333333
note_on channel=0 note=81 velocity=0 time=64 1.8229166666666667
note_on channel=0 note=69 velocity=0 time=7 1.83203125
control_change channel=0 control=64 value=94 time=90 1.94921875
note_on channel=0 note=66 velocity=31 time=31 1.9895833333333333
note_on channel=0 note=86 velocity=62 time=3 1.9934895833333333
control_change channel=0 control=64 value=94 time=133 2.1666666666666665
note_on channel=0 note=86 velocity=0 time=10 2.1796875
note_on channel=0 note=81 velocity=69 time=15 2.19921875
note_on channel=0 note=69 velocity=36 time=9 2.2109375
note_on channel=0 note=66 velocity=0 time=11 2.2252604166666665
note_on channel=0 note=62 velocity=0 time=15 2.2447916666666665
control_change channel=0 control=64 value=93 time=16 2.265625
note_on channel=0 note=69 velocity=0 time=25 2.2981770833333335
control_change channel=0 control=64 value=92 time=44 2.35546875
control_change channel=0 control=64 value=91 time=15 2.375
control_change channel=0 control=64 value=87 time=15 2.39453125
control_change channel=0 control=64 value=81 time=15 2.4140625
control_change channel=0 control=64 value=74 time=15 2.43359375
control_change channel=0 control=64 value=65 time=16 2.4544270833333335
note_on channel=0 note=62 velocity=26 time=2 2.45703125
note_on channel=0 note=78 velocity=58 time=9 2.46875
control_change channel=0 control=64 value=51 time=4 2.4739583333333335
note_on channel=0 note=66 velocity=19 time=11 2.48828125
control_change channel=0 control=64 value=31 time=4 2.4934895833333335
note_on channel=0 note=81 velocity=0 time=7 2.5026041666666665
control_change channel=0 control=64 value=30 time=8 2.5130208333333335
control_change channel=0 control=64 value=29 time=15 2.5325520833333335
control_change channel=0 control=64 value=28 time=15 2.5520833333333335
control_change channel=0 control=64 value=32 time=31 2.5924479166666665
control_change channel=0 control=64 value=43 time=15 2.6119791666666665
control_change channel=0 control=64 value=54 time=15 2.6315104166666665
control_change channel=0 control=64 value=61 time=16 2.65234375
control_change channel=0 control=64 value=64 time=15 2.671875
note_on channel=0 note=66 velocity=0 time=3 2.67578125
control_change channel=0 control=64 value=66 time=11 2.6901041666666665
control_change channel=0 control=64 value=68 time=16 2.7109375
note_on channel=0 note=69 velocity=37 time=2 2.7135416666666665
control_change channel=0 control=64 value=70 time=14 2.7317708333333335
control_change channel=0 control=64 value=71 time=16 2.7526041666666665
control_change channel=0 control=64 value=72 time=15 2.7721354166666665
control_change channel=0 control=64 value=73 time=14 2.7903645833333335
control_change channel=0 control=64 value=74 time=16 2.8111979166666665
control_change channel=0 control=64 value=75 time=15 2.8307291666666665
control_change channel=0 control=64 value=76 time=15 2.8502604166666665
note_on channel=0 note=69 velocity=0 time=13 2.8671875
control_change channel=0 control=64 value=76 time=3 2.87109375
control_change channel=0 control=64 value=78 time=14 2.8893229166666665
control_change channel=0 control=64 value=80 time=16 2.91015625
control_change channel=0 control=64 value=82 time=15 2.9296875
control_change channel=0 control=64 value=84 time=15 2.94921875
control_change channel=0 control=64 value=85 time=16 2.9700520833333335
note_on channel=0 note=66 velocity=18 time=4 2.9752604166666665
control_change channel=0 control=64 value=86 time=11 2.9895833333333335
control_change channel=0 control=64 value=86 time=45 3.0481770833333335
note_on channel=0 note=66 velocity=0 time=56 3.12109375
note_on channel=0 note=69 velocity=28 time=18 3.14453125
note_on channel=0 note=69 velocity=0 time=137 3.3229166666666665
note_on channel=0 note=78 velocity=0 time=35 3.3684895833333335
note_on channel=0 note=81 velocity=62 time=18 3.3919270833333335
note_on channel=0 note=66 velocity=30 time=10 3.4049479166666665
note_on channel=0 note=69 velocity=38 time=161 3.6145833333333335
note_on channel=0 note=62 velocity=0 time=2 3.6171875
note_on channel=0 note=78 velocity=69 time=2 3.6197916666666665
note_on channel=0 note=66 velocity=0 time=18 3.6432291666666665
note_on channel=0 note=81 velocity=0 time=25 3.67578125
note_on channel=0 note=69 velocity=0 time=3 3.6796875
control_change channel=0 control=64 value=86 time=52 3.7473958333333335
control_change channel=0 control=64 value=85 time=31 3.7877604166666665
control_change channel=0 control=64 value=85 time=16 3.80859375
control_change channel=0 control=64 value=84 time=15 3.828125
control_change channel=0 control=64 value=83 time=15 3.84765625
control_change channel=0 control=64 value=80 time=16 3.8684895833333335
control_change channel=0 control=64 value=77 time=14 3.88671875
control_change channel=0 control=64 value=72 time=16 3.9075520833333335
control_change channel=0 control=64 value=66 time=15 3.9270833333333335
note_on channel=0 note=78 velocity=0 time=1 3.9283854166666665
control_change channel=0 control=64 value=55 time=13 3.9453125
note_on channel=0 note=74 velocity=52 time=3 3.94921875
control_change channel=0 control=64 value=41 time=13 3.9661458333333335
